type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
6,2022-06-30 12:35:45+0000,877,2.183406115,0.439560413,1083,0.741525424,114.9846039
1,2022-06-30 12:31:18+0000,239,0.654450238,0.16482611,499,0.236763237,36.82282639
6,2022-06-30 12:01:46+0000,1395,5.208333492,0.551267922,475,0.82797619,170.7522278
6,2022-06-29 12:09:37+0000,1423,2.717391253,0.331895113,524,0.709435846,168.7037811
1,2022-06-29 12:02:34+0000,231,0.545256257,0.193648338,465,0.228315055,33.62038803
6,2022-06-29 11:38:07+0000,1111,0.827129841,0.129065558,1380,0.589266738,119.7217636
6,2022-06-28 11:11:56+0000,1943,2.881844282,0.538213134,725,0.802980132,218.6030579
1,2022-06-28 11:07:21+0000,235,0.475511193,0.183587298,1340,0.232303091,39.64669418
6,2022-06-28 10:35:28+0000,1277,1.766784549,0.577700794,1275,0.746487119,129
6,2022-06-27 11:50:22+0000,1256,2.066115618,0.154607296,505,0.635121457,177.3815155
1,2022-06-27 11:45:38+0000,239,0.624609649,0.181521147,1736,0.236526946,48.670578
6,2022-06-27 11:21:16+0000,1132,2.202643156,0.434027791,436,0.619386637,136.8016663
6,2022-06-25 00:37:56+0000,6479,4.56621027,0.182282165,1545,0.670743082,885.1824951
6,2022-06-25 00:16:44+0000,840,1.440922141,0.217438579,937,0.488927739,118.935524
6,2022-06-23 11:22:16+0000,1556,5.434782505,0.301477253,1387,0.601626016,183.2168121
1,2022-06-23 11:16:47+0000,245,0.626959264,0.188323915,1527,0.24227318,49.75709534
6,2022-06-23 10:55:14+0000,1053,1.949317694,0.47505939,787,0.613185531,163.6604767
6,2022-06-21 12:28:12+0000,1608,2.695417881,0.428632677,1301,0.698516579,250.9680481
1,2022-06-21 12:23:33+0000,247,0.532198012,0.188146755,1681,0.242814668,45
6,2022-06-21 12:01:40+0000,1059,4.048583031,0.402576506,578,0.59315376,143
6,2022-06-18 01:04:07+0000,6150,2.87356329,0.246487543,1435,0.732459797,774
6,2022-06-18 00:35:48+0000,1277,2.525252581,0.195771351,995,0.555555556,192.9684143
6,2022-06-17 11:08:18+0000,2352,8.849557877,0.188608065,1262,0.767495095,259.9014282
1,2022-06-17 11:03:58+0000,243,0.471253544,0.180245131,1026,0.240518962,48.6609726
1,2022-06-17 10:57:44+0000,30,0.579038799,0.212675452,1165,0.232,4.01265955
6,2022-06-17 10:28:16+0000,1501,5.319149017,0.396668017,1216,0.775478531,155.2282562
6,2022-06-16 11:07:53+0000,2215,5.076142311,0.182481751,1593,0.720521173,307.9592285
1,2022-06-16 11:03:28+0000,243,0.576368868,0.197122023,1421,0.240518962,33.65047073
1,2022-06-16 10:56:49+0000,68,0.774593353,0.208507091,813,0.228668942,8.063364029
6,2022-06-16 10:25:38+0000,1463,2.50626564,0.550357699,1960,0.79705401,146.2836761
6,2022-06-15 12:47:55+0000,1864,1.369863033,0.316656113,1560,0.62037962,232.0163727
6,2022-06-15 11:52:54+0000,1171,2.994012117,0.204498976,1170,0.583042394,169.3257904
1,2022-06-15 11:46:25+0000,249,0.521920681,0.188536957,1634,0.244312562,47.91866684
6,2022-06-15 11:22:42+0000,1147,1.2722646,0.443655729,415,0.631549917,124.5349045
6,2022-06-14 13:59:42+0000,2343,2.314814806,0.209205016,1528,0.603817385,318.0751038
6,2022-06-14 12:08:07+0000,1917,2.386634827,0.24307245,872,0.609290487,291
1,2022-06-14 12:03:23+0000,259,0.562746227,0.193498448,469,0.256231306,56.05161285
6,2022-06-14 11:42:50+0000,1036,3.773585081,0.490677118,1054,0.591428571,103.7179718
6,2022-06-12 10:52:17+0000,1573,2.638522387,0.571428597,1305,0.766341463,162.0105286
1,2022-06-12 10:47:29+0000,251,0.647249222,0.200481161,204,0.247514911,51.78847885
6,2022-06-12 10:18:38+0000,1492,1.406469703,0.222123504,468,0.780628272,140.2628632
24,2022-06-12 10:05:59+0000,684,0,1.800000072,490,0,45
6,2022-06-11 10:42:47+0000,2351,6.896552086,0.222816408,694,0.781666667,239
1,2022-06-11 10:38:27+0000,237,0.517598331,0.197122023,1245,0.234765235,30.8156414
6,2022-06-11 10:11:35+0000,1359,2.92397666,0.157579571,1962,0.748896247,147.4778442
6,2022-06-04 11:44:32+0000,1196,1.706484556,0.408163249,1478,0.642473118,167.9302216
1,2022-06-04 11:38:21+0000,245,0.598086119,0.210216522,1998,0.242757243,51.81399536
6,2022-06-04 11:17:13+0000,1074,2.232142687,0.275862068,247,0.570744681,133.3164368
6,2022-06-03 11:08:45+0000,2892,2.695417881,0.50150454,2000,0.935901586,221.0260925
1,2022-06-03 11:03:24+0000,251,0.825763881,0.162680984,940,0.248255234,45.2020607
6,2022-06-03 10:41:37+0000,1265,2.949852705,0.478468925,416,0.628045748,164.7203522
6,2022-05-31 11:47:54+0000,1632,2.994012117,0.309501708,1557,0.61774744,166.5786285
1,2022-05-31 11:42:33+0000,261,0.551267922,0.202963263,1133,0.257455268,49.91259766
6,2022-05-31 10:30:18+0000,2313,3.460207462,0.385802478,949,0.632243889,278.7836609
6,2022-05-30 12:00:54+0000,2689,2.481389523,0.194666147,989,0.949452103,212.1686249
1,2022-05-30 11:55:16+0000,253,0.405844152,0.174581006,411,0.25,48.91750336
6,2022-05-30 11:24:52+0000,1157,1.156069398,0.101657011,1770,0.602818372,149.0387573
6,2022-05-29 11:23:43+0000,1582,3.55871892,0.199800193,868,0.683549784,213
1,2022-05-29 11:19:12+0000,253,0.427350432,0.183857322,1149,0.251,41
6,2022-05-29 10:53:31+0000,1243,1.92678225,0.160025597,273,0.681119649,144
6,2022-05-28 10:44:18+0000,2245,2.832861423,0.413393974,1870,0.740508419,263.7160645
1,2022-05-28 10:39:29+0000,271,0.645161331,0.222370461,1097,0.267661692,51.32574844
